"name","party","constituency","email"
"Ms Diane Abbott","Labour","Hackney North and Stoke Newington","sheyda.m.azar@parliament.uk"
"Debbie Abrahams","Labour","Oldham East and Saddleworth","abrahamsd@parliament.uk"
"Nigel Adams","Conservative","Selby and Ainsty","nigel.adams.mp@parliament.uk"
"Adam Afriyie","Conservative","Windsor","adam.afriyie.mp@parliament.uk"
"Ms Tasmina Ahmed-Sheikh","Scottish National Party","Ochil and South Perthshire","tas.mp@parliament.uk"
"Peter Aldous","Conservative","Waveney","peter.aldous.mp@parliament.uk"
"Heidi Alexander","Labour","Lewisham East","heidi.alexander.mp@parliament.uk"
"Rushanara Ali","Labour","Bethnal Green and Bow","rushanara.ali.mp@parliament.uk"
"Lucy Allan","Conservative","Telford","lucy.allan.mp@parliament.uk"
"Mr Graham Allen","Labour","Nottingham North","allengw@parliament.uk"
"Heidi Allen","Conservative","South Cambridgeshire","heidi.allen.mp@parliament.uk"
"Sir David Amess","Conservative","Southend West","amessd@parliament.uk"
"Mr David Anderson","Labour","Blaydon","andersonda@parliament.uk"
"Stuart Andrew","Conservative","Pudsey","stuart.andrew.mp@parliament.uk"
"Caroline Ansell","Conservative","Eastbourne","caroline.ansell.mp@parliament.uk"
"Edward Argar","Conservative","Charnwood","edward.argar.mp@parliament.uk"
"Richard Arkless","Scottish National Party","Dumfries and Galloway","richard.arkless.mp@parliament.uk"
"Jonathan Ashworth","Labour (Co-op)","Leicester South","jon.ashworth.mp@parliament.uk"
"Victoria Atkins","Conservative","Louth and Horncastle","Victoria@victoriaatkins.org.uk "
"Ian Austin","Labour","Dudley North","austini@parliament.uk"
"Mr Richard Bacon","Conservative","South Norfolk","richardbaconmp@parliament.uk"
"Mr Adrian Bailey","Labour (Co-op)","West Bromwich West","baileya@parliament.uk"
"Mr Steve Baker","Conservative","Wycombe","steve.baker.mp@parliament.uk"
"Harriett Baldwin","Conservative","West Worcestershire","harriett.baldwin.mp@parliament.uk"
"Stephen Barclay","Conservative","North East Cambridgeshire","stephen.barclay.mp@parliament.uk"
"Hannah Bardell","Scottish National Party","Livingston","hannah.bardell.mp@parliament.uk"
"Mr John Baron","Conservative","Basildon and Billericay","baronj@parliament.uk"
"Rt Hon Kevin Barron","Labour","Rother Valley","barronk@parliament.uk"
"Gavin Barwell","Conservative","Croydon Central","gavin.barwell.mp@parliament.uk"
"Guto Bebb","Conservative","Aberconwy","guto.bebb.mp@parliament.uk"
"Rt Hon Margaret Beckett","Labour","Derby South","margaret.beckett.mp@parliament.uk"
"Mr Henry Bellingham","Conservative","North West Norfolk","bellinghamh@parliament.uk"
"Rt Hon Hilary Benn","Labour","Leeds Central","bennh@parliament.uk"
"Richard Benyon","Conservative","Newbury","benyonr@parliament.uk"
"Rt Hon John Bercow","Speaker","Buckingham","speakersoffice@parliament.uk "
"Sir Paul Beresford","Conservative","Mole Valley","annie.winsbury@parliament.uk"
"Luciana Berger","Labour (Co-op)","Liverpool, Wavertree","luciana.berger.mp@parliament.uk"
"Jake Berry","Conservative","Rossendale and Darwen","jake.berry.mp@parliament.uk"
"James Berry","Conservative","Kingston and Surbiton","james.berry.mp@parliament.uk"
"Mr Clive Betts","Labour","Sheffield South East","clive.betts.mp@parliament.uk"
"Andrew Bingham","Conservative","High Peak","andrew.bingham.mp@parliament.uk"
"Mhairi Black","Scottish National Party","Paisley and Renfrewshire South","mhairi.black.mp@parliament.uk"
"Ian Blackford","Scottish National Party","Ross, Skye and Lochaber","ian.blackford.mp@parliament.uk"
"Bob Blackman","Conservative","Harrow East","bob.blackman.mp@parliament.uk"
"Kirsty Blackman","Scottish National Party","Aberdeen North","kirsty.blackman.mp@parliament.uk"
"Dr Roberta Blackman-Woods","Labour","City of Durham","woodsr@parliament.uk"
"Nicola Blackwood","Conservative","Oxford West and Abingdon","nicola.blackwood.mp@parliament.uk"
"Tom Blenkinsop","Labour","Middlesbrough South and East Cleveland","info@tomblenkinsop.com"
"Paul Blomfield","Labour","Sheffield Central","paul.blomfield.mp@parliament.uk"
"Crispin Blunt","Conservative","Reigate","crispinbluntmp@parliament.uk"
"Nick Boles","Conservative","Grantham and Stamford","nick.boles.mp@parliament.uk"
"Mr Peter Bone","Conservative","Wellingborough","bonep@parliament.uk"
"Victoria Borwick","Conservative","Kensington","victoria.borwick.mp@parliament.uk"
"Philip Boswell","Scottish National Party","Coatbridge, Chryston and Bellshill","phil.boswell.mp@parliament.uk"
"Sir Peter Bottomley","Conservative","Worthing West","bottomleyp@parliament.uk"
"Karen Bradley","Conservative","Staffordshire Moorlands","karen.bradley.mp@parliament.uk"
"Rt Hon Ben Bradshaw","Labour","Exeter","bradshawb@parliament.uk"
"Mr Graham Brady","Conservative","Altrincham and Sale West","crowthers@parliament.uk"
"Mickey Brady","Sinn Fein","Newry and Armagh","mickey.brady.mp@parliament.uk"
"Rt Hon Tom Brake","Liberal Democrat","Carshalton and Wallington","info@tombrake.co.uk"
"Mr Julian Brazier","Conservative","Canterbury","canterbury@tory.org"
"Kevin Brennan","Labour","Cardiff West","brennank@parliament.uk"
"Andrew Bridgen","Conservative","North West Leicestershire","andrew.bridgen.mp@parliament.uk"
"Steve Brine","Conservative","Winchester","steve.brine.mp@parliament.uk"
"Deidre Brock","Scottish National Party","Edinburgh North and Leith","deidre.brock.mp@parliament.uk"
"Rt Hon James Brokenshire","Conservative","Old Bexley and Sidcup","james.brokenshire.mp@parliament.uk"
"Alan Brown","Scottish National Party","Kilmarnock and Loudoun","alan.brown.mp@parliament.uk"
"Lyn Brown","Labour","West Ham","brownl@parliament.uk"
"Rt Hon Nicholas Brown","Labour","Newcastle upon Tyne East","nickbrownmp@parliament.uk"
"Fiona Bruce","Conservative","Congleton","fiona.bruce.mp@parliament.uk"
"Chris Bryant","Labour","Rhondda","bryantc@parliament.uk"
"Ms Karen Buck","Labour","Westminster North","buckk@parliament.uk"
"Robert Buckland","Conservative","South Swindon","robert.buckland.mp@parliament.uk"
"Richard Burden","Labour","Birmingham, Northfield","richard.burden.mp@parliament.uk"
"Richard Burgon","Labour","Leeds East","richard@richardburgon.com"
"Rt Hon Andy Burnham","Labour","Leigh","andy.burnham.mp@parliament.uk"
"Conor Burns","Conservative","Bournemouth West","conor.burns.mp@parliament.uk"
"Rt Hon Sir Simon Burns","Conservative","Chelmsford","burnss@parliament.uk"
"Mr David Burrowes","Conservative","Enfield, Southgate","burrowesd@parliament.uk"
"Rt Hon Alistair Burt","Conservative","North East Bedfordshire","alistair.burt.mp@parliament.uk"
"Dawn Butler","Labour","Brent Central","dawn.butler.mp@parliament.uk"
"Rt Hon Liam Byrne","Labour","Birmingham, Hodge Hill","byrnel@parliament.uk"
"Ruth Cadbury","Labour","Brentford and Isleworth","ruth.cadbury.mp@parliament.uk"
"Alun Cairns","Conservative","Vale of Glamorgan","alun.cairns.mp@parliament.uk"
"Rt Hon David Cameron","Conservative","Witney",NA
"Dr Lisa Cameron","Scottish National Party","East Kilbride, Strathaven and Lesmahagow","lisa.cameron.mp@parliament.uk"
"Rt Hon Alan Campbell","Labour","Tynemouth","campbellal@parliament.uk"
"Mr Gregory Campbell","Democratic Unionist Party","East Londonderry","fieldingm@parliament.uk"
"Mr Ronnie Campbell","Labour","Blyth Valley","ronnie.campbell.mp@parliament.uk"
"Rt Hon Alistair Carmichael","Liberal Democrat","Orkney and Shetland","carmichaela@parliament.uk"
"Neil Carmichael","Conservative","Stroud","neil.carmichael.mp@parliament.uk"
"Mr Douglas Carswell","UK Independence Party","Clacton",NA
"James Cartlidge","Conservative","South Suffolk","james.cartlidge.mp@parliament.uk"
"Sir William Cash","Conservative","Stone","mcconaloguej@parliament.uk"
"Maria Caulfield","Conservative","Lewes","maria.caulfield.mp@parliament.uk"
"Alex Chalk","Conservative","Cheltenham","alex.chalk.mp@parliament.uk"
"Sarah Champion","Labour","Rotherham","sarah.champion.mp@parliament.uk"
"Douglas Chapman","Scottish National Party","Dunfermline and West Fife","douglas.chapman.mp@parliament.uk"
"Jenny Chapman","Labour","Darlington","jenny.chapman.mp@parliament.uk"
"Joanna Cherry QC","Scottish National Party","Edinburgh South West","joanna.cherry.mp@parliament.uk"
"Rehman Chishti","Conservative","Gillingham and Rainham","rehman.chishti.mp@parliament.uk"
"Mr Christopher Chope","Conservative","Christchurch","chopec@parliament.uk"
"Jo Churchill","Conservative","Bury St Edmunds","jo.churchill.mp@parliament.uk"
"Rt Hon Greg Clark","Conservative","Tunbridge Wells","gregclarkmp@parliament.uk"
"Rt Hon Kenneth Clarke QC","Conservative","Rushcliffe","clarkek@parliament.uk; suggd@parliament.uk "
"Rt Hon Nick Clegg","Liberal Democrat","Sheffield, Hallam","Nick.Clegg.MP@parliament.uk"
"James Cleverly","Conservative","Braintree","james.cleverly.mp@parliament.uk"
"Geoffrey Clifton-Brown","Conservative","The Cotswolds","cliftonbrowng@parliament.uk"
"Rt Hon Ann Clwyd","Labour","Cynon Valley","ann.clwyd.mp@parliament.uk"
"Vernon Coaker","Labour","Gedling","vernon.coaker.mp@parliament.uk"
"Ann Coffey","Labour","Stockport","ann.coffey.mp@parliament.uk"
"Dr Thérèse Coffey","Conservative","Suffolk Coastal","therese.coffey.mp@parliament.uk"
"Damian Collins","Conservative","Folkestone and Hythe","damian.collins.mp@parliament.uk"
"Oliver Colvile","Conservative","Plymouth, Sutton and Devonport","oliver.colvile.mp@parliament.uk"
"Julie Cooper","Labour","Burnley","julie.cooper.mp@parliament.uk"
